turns, dst_city, or_city, dep_date, ret_date, budget, adults, children, seat_class, success
Book a flight from ALger to Dakar | On what date would you like to start your travel? | May 3 | On what date would you like to end your travel? | May 7 | How many adult will attend your trip? | 2 | How many children will attend your trip? | 0 | What will be the budget for your trip? | 200 | What seat class would you like : business or premiere or economic ? | premiere, dakar, alger, 2023-05-03, 2023-05-07, 200.0, 2, 0, premiere, 0
I would like to book a flight from Milan to Berlin. I will leave on July 7 and return on August 15. My budget is $500 for business class seats for 2 adults and 1 children | How many adult will attend your trip? | 2 | What will be the budget for your trip? | 900, berlin ., milan, july 7, august 15 ., 900.0, 2, 1, business, 0
Please book a flight from Detroit to Toronto. I will leave on June 17 and return on August 11. My budget is $500 for business class seats for 2 adults and 1 children | How many adult will attend your trip? | 1 | What will be the budget for your trip? | 1000, toronto ., detroit, june 17, august 11 ., 1000.0, 1, 1, business, 1
